round,drift_standard,drift_gated,improvement_pct,avg_honest_rep,avg_byz_rep,nodes_gated_out,byz_nodes_gated,admitted_count
1,0.023032,0.023032,0.000000,0.520000,0.400000,0,0,20
2,0.028782,0.028782,-0.000000,0.540000,0.300000,0,0,20
3,0.028838,0.013312,53.839712,0.560000,0.290000,5,5,15
4,0.027229,0.019259,29.268953,0.580000,0.280000,5,5,15
5,0.025921,0.013432,48.181480,0.600000,0.270000,5,5,15
6,0.030280,0.015688,48.190662,0.620000,0.260000,5,5,15
7,0.030114,0.012190,59.520047,0.640000,0.250000,5,5,15
8,0.032410,0.014116,56.447040,0.660000,0.240000,5,5,15
9,0.023794,0.014144,40.557579,0.680000,0.230000,5,5,15
10,0.020773,0.017676,14.906827,0.700000,0.220000,5,5,15
11,0.028407,0.010480,63.106344,0.720000,0.210000,5,5,15
12,0.034838,0.015295,56.097681,0.740000,0.200000,5,5,15
13,0.030977,0.014452,53.347126,0.760000,0.190000,5,5,15
14,0.025857,0.011955,53.764154,0.780000,0.180000,5,5,15
15,0.034732,0.024791,28.622640,0.800000,0.170000,5,5,15
16,0.032808,0.012434,62.101918,0.820000,0.160000,5,5,15
17,0.029793,0.015360,48.445512,0.840000,0.150000,5,5,15
18,0.033804,0.011929,64.712232,0.860000,0.140000,5,5,15
19,0.030674,0.014382,53.111555,0.880000,0.130000,5,5,15
20,0.025748,0.010113,60.722669,0.900000,0.120000,5,5,15
21,0.029818,0.011561,61.226435,0.920000,0.110000,5,5,15
22,0.031867,0.007953,75.043355,0.940000,0.100000,5,5,15
23,0.027127,0.011092,59.111063,0.960000,0.090000,5,5,15
24,0.023605,0.014153,40.041299,0.980000,0.080000,5,5,15
25,0.027157,0.016454,39.412491,1.000000,0.070000,5,5,15
26,0.024200,0.012062,50.155641,1.000000,0.060000,5,5,15
27,0.034511,0.016187,53.096126,1.000000,0.050000,5,5,15
28,0.023087,0.015125,34.488203,1.000000,0.040000,5,5,15
29,0.034733,0.014770,57.474466,1.000000,0.030000,5,5,15
30,0.037985,0.014279,62.410499,1.000000,0.020000,5,5,15
31,0.029368,0.016779,42.867705,1.000000,0.010000,5,5,15
32,0.032805,0.016429,49.918066,1.000000,0.000000,5,5,15
33,0.033950,0.012095,64.374009,1.000000,0.000000,5,5,15
34,0.025634,0.017882,30.240162,1.000000,0.000000,5,5,15
35,0.025162,0.012860,48.890172,1.000000,0.000000,5,5,15
36,0.033444,0.015471,53.741675,1.000000,0.000000,5,5,15
37,0.027647,0.010743,61.140400,1.000000,0.000000,5,5,15
38,0.023670,0.010752,54.576417,1.000000,0.000000,5,5,15
39,0.022674,0.013896,38.711289,1.000000,0.000000,5,5,15
40,0.028115,0.019754,29.741041,1.000000,0.000000,5,5,15
41,0.037575,0.019971,46.848652,1.000000,0.000000,5,5,15
42,0.025991,0.011759,54.758634,1.000000,0.000000,5,5,15
43,0.033838,0.010625,68.600977,1.000000,0.000000,5,5,15
44,0.027286,0.008365,69.344508,1.000000,0.000000,5,5,15
45,0.036738,0.027098,26.241754,1.000000,0.000000,5,5,15
46,0.028346,0.015783,44.321630,1.000000,0.000000,5,5,15
47,0.020066,0.014857,25.958272,1.000000,0.000000,5,5,15
48,0.027722,0.020090,27.530248,1.000000,0.000000,5,5,15
49,0.037963,0.020377,46.324226,1.000000,0.000000,5,5,15
50,0.020866,0.017749,14.937522,1.000000,0.000000,5,5,15
51,0.026430,0.019519,26.147531,1.000000,0.000000,5,5,15
52,0.025194,0.010913,56.686742,1.000000,0.000000,5,5,15
53,0.026336,0.012938,50.873051,1.000000,0.000000,5,5,15
54,0.031434,0.014062,55.264782,1.000000,0.000000,5,5,15
55,0.027515,0.012649,54.027743,1.000000,0.000000,5,5,15
56,0.034499,0.016454,52.305865,1.000000,0.000000,5,5,15
57,0.022960,0.014005,39.002970,1.000000,0.000000,5,5,15
58,0.032007,0.015580,51.324772,1.000000,0.000000,5,5,15
59,0.023381,0.012276,47.495677,1.000000,0.000000,5,5,15
60,0.031592,0.013217,58.165455,1.000000,0.000000,5,5,15
61,0.026477,0.008940,66.234548,1.000000,0.000000,5,5,15
62,0.028173,0.014902,47.104077,1.000000,0.000000,5,5,15
63,0.027131,0.011655,57.042850,1.000000,0.000000,5,5,15
64,0.031579,0.015490,50.948114,1.000000,0.000000,5,5,15
65,0.023880,0.011405,52.240157,1.000000,0.000000,5,5,15
66,0.031144,0.012263,60.622985,1.000000,0.000000,5,5,15
67,0.028076,0.015279,45.579434,1.000000,0.000000,5,5,15
68,0.029360,0.009024,69.262202,1.000000,0.000000,5,5,15
69,0.029742,0.010632,64.254760,1.000000,0.000000,5,5,15
70,0.031451,0.013900,55.803249,1.000000,0.000000,5,5,15
71,0.022917,0.014376,37.270931,1.000000,0.000000,5,5,15
72,0.028375,0.011279,60.250556,1.000000,0.000000,5,5,15
73,0.034575,0.012548,63.706946,1.000000,0.000000,5,5,15
74,0.036260,0.010691,70.515263,1.000000,0.000000,5,5,15
75,0.026605,0.015658,41.148812,1.000000,0.000000,5,5,15
76,0.031497,0.016475,47.692716,1.000000,0.000000,5,5,15
77,0.024709,0.017011,31.156138,1.000000,0.000000,5,5,15
78,0.027398,0.013776,49.717374,1.000000,0.000000,5,5,15
79,0.034983,0.020753,40.676492,1.000000,0.000000,5,5,15
80,0.031985,0.016809,47.446551,1.000000,0.000000,5,5,15
81,0.028810,0.014153,50.876579,1.000000,0.000000,5,5,15
82,0.033638,0.012890,61.681039,1.000000,0.000000,5,5,15
83,0.029379,0.010218,65.220147,1.000000,0.000000,5,5,15
84,0.032187,0.016697,48.125723,1.000000,0.000000,5,5,15
85,0.036285,0.016969,53.233670,1.000000,0.000000,5,5,15
86,0.035517,0.016023,54.886064,1.000000,0.000000,5,5,15
87,0.030573,0.011720,61.664735,1.000000,0.000000,5,5,15
88,0.027049,0.010339,61.776972,1.000000,0.000000,5,5,15
89,0.034106,0.015026,55.943083,1.000000,0.000000,5,5,15
90,0.028386,0.015869,44.096305,1.000000,0.000000,5,5,15
91,0.037254,0.015580,58.180100,1.000000,0.000000,5,5,15
92,0.027132,0.017730,34.652860,1.000000,0.000000,5,5,15
93,0.024903,0.019418,22.025975,1.000000,0.000000,5,5,15
94,0.034366,0.012248,64.359524,1.000000,0.000000,5,5,15
95,0.035466,0.014604,58.822048,1.000000,0.000000,5,5,15
96,0.032737,0.014444,55.879345,1.000000,0.000000,5,5,15
97,0.035012,0.017678,49.507980,1.000000,0.000000,5,5,15
98,0.029084,0.011366,60.918859,1.000000,0.000000,5,5,15
99,0.037486,0.018806,49.832917,1.000000,0.000000,5,5,15
100,0.040611,0.017228,57.578178,1.000000,0.000000,5,5,15
